id,timestamp,left dilation,right dilation,left closed,right closed 
0,03/22/2021 10:59:41.785,-1,-1,False,False
1,03/22/2021 10:59:41.806,-1,-1,False,False
2,03/22/2021 10:59:42.340,-1,-1,False,False
3,03/22/2021 10:59:42.389,-1,-1,False,False
4,03/22/2021 10:59:42.404,-1,-1,False,False
5,03/22/2021 10:59:42.416,-1,-1,False,False
6,03/22/2021 10:59:42.429,-1,-1,False,False
7,03/22/2021 10:59:42.441,-1,-1,False,False
8,03/22/2021 10:59:42.454,-1,-1,False,False
9,03/22/2021 10:59:42.467,-1,-1,False,False
10,03/22/2021 10:59:42.479,-1,-1,False,False
11,03/22/2021 10:59:42.492,-1,-1,False,False
12,03/22/2021 10:59:42.504,-1,-1,False,False
13,03/22/2021 10:59:42.516,-1,-1,False,False
14,03/22/2021 10:59:42.529,-1,-1,False,False
15,03/22/2021 10:59:42.541,-1,-1,False,False
16,03/22/2021 10:59:42.553,-1,-1,False,False
17,03/22/2021 10:59:42.570,-1,-1,False,False
18,03/22/2021 10:59:42.582,-1,-1,False,False
19,03/22/2021 10:59:42.596,-1,-1,False,False
20,03/22/2021 10:59:42.608,-1,-1,False,False
21,03/22/2021 10:59:42.621,-1,-1,False,False
22,03/22/2021 10:59:42.632,-1,-1,False,False
23,03/22/2021 10:59:42.646,-1,-1,False,False
24,03/22/2021 10:59:42.658,-1,-1,False,False
25,03/22/2021 10:59:42.671,-1,-1,False,False
26,03/22/2021 10:59:42.684,-1,-1,False,False
27,03/22/2021 10:59:42.696,-1,-1,False,False
28,03/22/2021 10:59:42.710,-1,-1,False,False
29,03/22/2021 10:59:42.724,-1,-1,False,False
30,03/22/2021 10:59:42.737,-1,-1,False,False
31,03/22/2021 10:59:42.749,-1,-1,False,False
32,03/22/2021 10:59:42.762,-1,-1,False,False
33,03/22/2021 10:59:42.774,-1,-1,False,False
34,03/22/2021 10:59:42.786,-1,-1,False,False
35,03/22/2021 10:59:42.799,-1,-1,False,False
36,03/22/2021 10:59:42.811,-1,-1,False,False
37,03/22/2021 10:59:42.823,-1,-1,False,False
38,03/22/2021 10:59:42.836,-1,-1,False,False
39,03/22/2021 10:59:42.849,-1,-1,False,False
40,03/22/2021 10:59:42.861,-1,-1,False,False
41,03/22/2021 10:59:42.874,-1,-1,False,False
42,03/22/2021 10:59:42.887,-1,-1,False,False
43,03/22/2021 10:59:42.899,-1,-1,False,False
44,03/22/2021 10:59:42.912,-1,-1,False,False
45,03/22/2021 10:59:42.925,-1,-1,False,False
46,03/22/2021 10:59:42.936,-1,-1,False,False
47,03/22/2021 10:59:42.949,-1,-1,False,False
48,03/22/2021 10:59:42.962,-1,-1,False,False
49,03/22/2021 10:59:42.975,-1,-1,False,False
50,03/22/2021 10:59:42.987,-1,-1,False,False
51,03/22/2021 10:59:42.999,-1,-1,False,False
52,03/22/2021 10:59:43.012,-1,-1,False,False
53,03/22/2021 10:59:43.025,-1,-1,False,False
54,03/22/2021 10:59:43.038,-1,-1,False,False
55,03/22/2021 10:59:43.052,-1,-1,False,False
56,03/22/2021 10:59:43.066,-1,-1,False,False
57,03/22/2021 10:59:43.078,-1,-1,False,False
58,03/22/2021 10:59:43.091,-1,-1,False,False
59,03/22/2021 10:59:43.105,-1,-1,False,False
60,03/22/2021 10:59:43.119,-1,-1,False,False
61,03/22/2021 10:59:43.132,-1,-1,False,False
62,03/22/2021 10:59:43.144,-1,-1,False,False
63,03/22/2021 10:59:43.156,-1,-1,False,False
64,03/22/2021 10:59:43.169,-1,-1,False,False
65,03/22/2021 10:59:43.182,-1,-1,False,False
66,03/22/2021 10:59:43.194,-1,-1,False,False
67,03/22/2021 10:59:43.206,-1,-1,False,False
68,03/22/2021 10:59:43.217,-1,-1,False,False
69,03/22/2021 10:59:43.228,-1,-1,False,False
70,03/22/2021 10:59:43.241,-1,-1,False,False
71,03/22/2021 10:59:43.253,-1,-1,False,False
72,03/22/2021 10:59:43.266,-1,-1,False,False
73,03/22/2021 10:59:43.278,-1,-1,False,False
74,03/22/2021 10:59:43.290,-1,-1,False,False
75,03/22/2021 10:59:43.311,-1,-1,False,False
76,03/22/2021 10:59:43.332,-1,-1,False,False
77,03/22/2021 10:59:43.353,1.735062,-1,False,False
78,03/22/2021 10:59:43.376,-1,-1,False,False
79,03/22/2021 10:59:43.399,-1,-1,False,False
80,03/22/2021 10:59:43.421,-1,-1,False,False
81,03/22/2021 10:59:43.443,-1,-1,False,False
82,03/22/2021 10:59:43.465,-1,-1,False,False
83,03/22/2021 10:59:43.487,-1,-1,False,False
84,03/22/2021 10:59:43.509,-1,-1,False,False
85,03/22/2021 10:59:43.532,-1,-1,False,False
86,03/22/2021 10:59:43.554,-1,-1,False,False
87,03/22/2021 10:59:43.576,-1,-1,False,False
88,03/22/2021 10:59:43.599,-1,-1,False,False
89,03/22/2021 10:59:43.620,-1,-1,False,False
90,03/22/2021 10:59:43.643,-1,-1,False,False
91,03/22/2021 10:59:43.666,-1,-1,False,False
92,03/22/2021 10:59:43.687,-1,-1,False,False
93,03/22/2021 10:59:43.710,-1,-1,False,False
94,03/22/2021 10:59:43.731,-1,-1,False,False
95,03/22/2021 10:59:43.753,-1,-1,False,False
